#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
garth_greenhand;Gardener Bloodline;;;;;;;;;;;;;x
greenhand;Blood of Garth Greenhand;;;;;;;;;;;;;x
garth_the_gardener;Blood of Garth the Gardener;;;;;;;;;;;;;x
garth_goldenhand;Blood of Garth Goldenhand;;;;;;;;;;;;;x
uthor_the_hightower;Blood of Uthor of the Hightower;;;;;;;;;;;;;x
leo_longthorn;Blood of Leo Longthorn;;;;;;;;;;;;;x
alester_tyrell;Blood of Alester Tyrell;;;;;;;;;;;;;x
florys_the_fox;Blood of Florys the Fox;;;;;;;;;;;;;x
john_the_oak;Blood of John the Oak;;;;;;;;;;;;;x
gilbert_of_the_vines;Blood of Gilbert of the Vines;;;;;;;;;;;;;x
urrigon_hightower;Blood of Urrigon Hightower;;;;;;;;;;;;;x
foss_the_archer;Blood of Foss the Archer;;;;;;;;;;;;;x
owen_oakenshield;Blood of Owen Oakenshield;;;;;;;;;;;;;x
harlon_the_hunter_and_hendon_of_the_horn;Blood of the Hunter and the Horn;;;;;;;;;;;;;x
bors_the_breaker;Blood of Bors the Breaker;;;;;;;;;;;;;x
rose_of_red_lake;Blood of Rose of Red Lake;;;;;;;;;;;;;x
rowan_gold_tree;Blood of Rowan Gold-Tree;;;;;;;;;;;;;x
elwyn_the_ever_sweet;Blood of Elwyn the Ever Sweet;;;;;;;;;;;;;x
lann_the_clever;Blood of Lann the Clever;;;;;;;;;;;;;x
gerold_the_great;Blood of Gerold the Great;;;;;;;;;;;;;x
crake_the_boarkiller;Blood of Crake the Boarkiller;;;;;;;;;;;;;x
mountain_that_rides;Vile Blood of the Mountain that Rides;;;;;;;;;;;;;x
the_red_lion;Blood of the Red Lion;;;;;;;;;;;;;x
the_hooded_man;Blood of the Hooded Man;;;;;;;;;;;;;x
herrock_the_whoreson;Blood of Herrock the Whoreson;;;;;;;;;;;;;x
the_crag;Blood of the Crag;;;;;;;;;;;;;x
the_blind_bowman;Blood of the Blind Bowman;;;;;;;;;;;;;x
farman;Blood of Fair Isle;;;;;;;;;;;;;x
aubrey_crakehall;Blood of Aubrey Crakehall;;;;;;;;;;;;;x
nymeria;Blood of Nymeria;;;;;;;;;;;;;x
meria;Blood of Meria the Yellow Toad;;;;;;;;;;;;;x
yronwood;Blood of the Bloodroyal;;;;;;;;;;;;;x
fowler;Fowler Blood;;;;;;;;;;;;;x
samwell_dayne;Blood of the Starfire;;;;;;;;;;;;;x
the_wyl;Wyl Blood;;;;;;;;;;;;;x
benedict_blackmont;Blood of Benedict Blackmont;;;;;;;;;;;;;x
manwoody;Manwoody Blood;;;;;;;;;;;;;x
qorgyle;Blood of the Black Scorpion;;;;;;;;;;;;;x
qorgyle_bl;Qorgyle Blood;;;;;;;;;;;;;x
uller;Blood of the Dragonslaying Ullers;;;;;;;;;;;;;x
uller_a;Uller Blood;;;;;;;;;;;;;x
aegon_the_conqueror;Blood of the Conqueror;;;;;;;;;;;;;x
aegon_the_reclaimer;Blood of the Reclaimer;;;;;;;;;;;;;x
the_conciliator;Blood of the Conciliator and the Good Queen;;;;;;;;;;;;;x
daemon_blackfyre;Blood of the Daemon;;;;;;;;;;;;;x
mad_king;Vile Blood of the Mad King;;;;;;;;;;;;;x
the_sea_snake;Blood of Corlys the Sea Snake;;;;;;;;;;;;;x
robert_baratheon;Blood of King Robert Baratheon;;;;;;;;;;;;;x
the_shadow_king;Blood of the Shadow Kings;;;;;;;;;;;;;x
bloodraven;Blood of Lord Bloodraven;;;;;;;;;;;;;x
bittersteel;Blood of Lord Bittersteel;;;;;;;;;;;;;x
seastar;Blood of the Star of the Sea;;;;;;;;;;;;;x
maegor;Blood of Maegor the Cruel;;;;;;;;;;;;;x
mother_of_dragons;Blood of the Mother of Dragons;;;;;;;;;;;;;x
aegon_vi;Blood of Aegon, the Golden Dragon;;;;;;;;;;;;;x
bran_the_builder;Blood of Bran the Builder;;;;;;;;;;;;;x
the_young_wolf;Blood of the Young Wolf;;;;;;;;;;;;;x
royce_redarm;Blood of Royce Redarm;;;;;;;;;;;;;x
belthasar_bolton;Blood of Belthasar Bolton;;;;;;;;;;;;;x
bran_the_breaker;Blood of Bran the Breaker;;;;;;;;;;;;;x
